Name,Email,Phone
Hansford,Hansford@asu.edu,8179201712
Kobayashi,Kobayashi@asu.edu,4671755879
Atkinson,Atkinson@asu.edu,6061799887
Selgrad,Selgrad@asu.edu,6745967580
Burger,Burger@asu.edu,7462029728
Miller,Miller@asu.edu,8282868831
Suthar,Suthar@asu.edu,607544357
Millman,Millman@asu.edu,4398341221
Feng,Feng@asu.edu,1591125748
Osburn,Osburn@asu.edu,3361374490
Tadayon,Tadayon@asu.edu,3616178485
Nakamura,Nakamura@asu.edu,4822973252
Vrudhula,Vrudhula@asu.edu,8329381576
Chen,Chen@asu.edu,761532494
Syrotiuk,Syrotiuk@asu.edu,2664565355
Xue,Xue@asu.edu,859079189
Ren,Ren@asu.edu,7621732352
Meuth,Meuth@asu.edu,9382090714
Zhao,Zhao@asu.edu,225965391
Chakati,Chakati@asu.edu,392281115
Banerjee,Banerjee@asu.edu,1058305600
Fainekos,Fainekos@asu.edu,9349733388
Colbourn,Colbourn@asu.edu,1718770582
Bao,Bao@asu.edu,6381664983
Doupe,Doupe@asu.edu,7387665036
Caviedes,Caviedes@asu.edu,4675389904
Shrivastava,Shrivastava@asu.edu,437231586
Meuth,Meuth@asu.edu,4387533285
Lee,Lee@asu.edu,1166085571
Balasooriya,Balasooriya@asu.edu,4860369442
Taylor,Taylor@asu.edu,4845306442
Broak,Broak@asu.edu,4812306442
Jason,Jason@asu.edu,4860636442
Jeelo,Jeelo@asu.edu,4820306442
Lofti,Lofti@asu.edu,4860706442
Niore,Niore@asu.edu,4868306442
Oshea,Oshea@asu.edu,4860306444
